Unnamed: 0	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
40	高匿代理服务	198.50.172.162:1080	中国 湖南 郴州 联通	HTTP,HTTPS代理	4.8	68天 23小时 42分钟 17秒	21542	2019年5月28日 01:07
41	高匿代理服务	114.55.236.62:3128	中国 浙江 杭州 阿里云	HTTP,HTTPS代理	1.9	266天 10小时 4分钟 49秒	522282	2019年5月28日 01:07
42	高匿代理服务	66.172.114.113:44989	中国 湖南 湘潭 移动	HTTPS代理	5.38	15天 12小时 30分钟 32秒	3924	2019年5月28日 01:07
43	高匿代理服务	177.85.78.4:8080	中国 辽宁 盘锦 电信	HTTP,HTTPS代理	3.66	48天 7小时 19分钟 48秒	9796	2019年5月28日 01:07
44	高匿代理服务	35.193.184.191:80	中国 山东 莱芜 联通	HTTP代理	4.48	71天 2小时 57分钟 35秒	1913	2019年5月28日 01:07
45	高匿代理服务	1.10.185.8:42106	中国 广西 贺州 联通	HTTP代理	2.47	81天 16小时 0分钟 29秒	16029	2019年5月28日 01:07
46	高匿代理服务	63.246.57.113:40867	中国 四川 内江 联通	HTTP,HTTPS代理	4.91	6天 13小时 31分钟 49秒	2620	2019年5月28日 01:07
47	高匿代理服务	181.119.69.26:32889	中国 山东 潍坊 电信	HTTP代理	4.67	68天 20小时 59分钟 45秒	5321	2019年5月28日 01:07
48	高匿代理服务	125.123.142.207:9000	中国 浙江 嘉兴 电信	HTTP,HTTPS代理	4.16	145天 9小时 35分钟 26秒	399	2019年5月28日 01:07
49	高匿代理服务	188.18.54.242:45952	中国 河北 石家庄 电信	HTTP,HTTPS代理	3.5	12天 19小时 42分钟 20秒	3765	2019年5月28日 01:07
0	高匿代理服务	125.26.7.116:57059	中国 吉林 白山 电信	HTTP,HTTPS代理	3.03	80天 5小时 13分钟 59秒	15118	2019年5月28日 01:07
1	高匿代理服务	1.20.101.149:44778	中国 辽宁 大连 教育网	HTTP代理	4.24	81天 16小时 0分钟 27秒	12972	2019年5月28日 01:07
2	高匿代理服务	37.187.149.129:1080	中国 山东 青岛 鹏博士	HTTP,HTTPS代理	4.09	272天 5小时 17分钟 57秒	403322	2019年5月28日 01:07
3	高匿代理服务	185.132.133.173:1080	中国 台湾 云林	HTTP代理	3.56	43天 1小时 14分钟 39秒	8511	2019年5月28日 01:07
4	高匿代理服务	191.242.195.112:8080	中国 北京 北京 首都在线/电信	HTTP,HTTPS代理	3.38	93天 17小时 13分钟 51秒	9336	2019年5月28日 01:07
5	高匿代理服务	58.9.182.21:8080	中国 河北 邢台 移动	HTTP,HTTPS代理	6.14	1天 2小时 47分钟 39秒	648	2019年5月28日 01:07
6	高匿代理服务	201.76.117.1:20183	中国 陕西 渭南 电信	HTTP,HTTPS代理	3.84	3天 9小时 32分钟 26秒	1550	2019年5月28日 01:07
7	高匿代理服务	109.72.227.56:53281	中国 上海 上海 教育网	HTTP代理	6.01	41天 6小时 40分钟 35秒	7154	2019年5月28日 01:07
8	高匿代理服务	202.43.167.130:8080	中国 山东 泰安 电信	HTTP,HTTPS代理	6.09	178天 12小时 53分钟 45秒	59254	2019年5月28日 01:07
9	高匿代理服务	156.239.12.12:6604	中国 贵州 黔南 移动	HTTP,HTTPS代理	6.74	1天 14小时 59分钟 59秒	658	2019年5月28日 01:07
10	高匿代理服务	5.196.255.171:3128	中国 北京 北京	HTTP,HTTPS代理	2.53	98天 18小时 15分钟 7秒	7820	2019年5月28日 01:07
11	高匿代理服务	60.190.250.120:8080	中国 浙江 杭州 电信	HTTPS代理	5.53	125天 23小时 21分钟 56秒	17490	2019年5月28日 01:07
12	高匿代理服务	81.198.119.241:59096	中国 北京 北京 凤凰新媒体	HTTP,HTTPS代理	4.51	16天 6小时 7分钟 50秒	4166	2019年5月28日 01:07
13	高匿代理服务	101.109.106.245:8080	中国 辽宁 葫芦岛 联通	HTTP,HTTPS代理	3.43	12小时 43分钟 2秒	329	2019年5月28日 01:07
14	高匿代理服务	121.206.244.135:53281	中国 福建 南平 电信	HTTP,HTTPS代理	3.43	1天 13小时 53分钟 46秒	893	2019年5月28日 01:07
15	高匿代理服务	195.235.234.139:80	中国 陕西 延安 电信	HTTP代理	0.47	38天 6小时 58分钟 34秒	16518	2019年5月28日 01:07
16	高匿代理服务	39.98.253.191:3128	中国 北京 北京 阿里云	HTTP,HTTPS代理	2.19	12天 19小时 39分钟 24秒	2152	2019年5月28日 01:07
17	高匿代理服务	159.192.107.246:8080	中国 宁夏 固原 电信	HTTP,HTTPS代理	4.23	5天 0小时 57分钟 1秒	2454	2019年5月28日 01:07
18	高匿代理服务	86.57.181.122:51910	中国 江苏 盐城 联通	HTTP,HTTPS代理	3.04	41天 1小时 32分钟 4秒	8553	2019年5月28日 01:07
19	高匿代理服务	114.199.111.130:8080	中国 贵州 遵义 电信	HTTP,HTTPS代理	2.23	93天 13小时 28分钟 38秒	26832	2019年5月28日 01:07
